0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
7,Consumer Services,270821,1089,50,0,0,0,0,0,0,0,0,271960,31645,127,6,0,0,0,0,0,0,0,0,31778,-1158,0,0,0,0,0,0,0,0,0,0,-1158,-135,0,0,0,0,0,0,0,0,0,0,-135,-166,-73,0,0,0,0,0,0,0,0,0,-239,-19,-8,0,0,0,0,0,0,0,0,0,-27,278551,930,50,0,0,0,0,0,0,0,0,279531,32507,109,6,0,0,0,0,0,0,0,0,32622
8,Diversified,4697,179,0,0,0,0,0,0,0,0,0,4876,549,21,0,0,0,0,0,0,0,0,0,570,-38,-111,0,0,0,0,0,0,0,0,0,-149,-4,-13,0,0,0,0,0,0,0,0,0,-17,28,0,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,3,4781,179,0,0,0,0,0,0,0,0,0,4960,558,21,0,0,0,0,0,0,0,0,0,579
9,Fast Moving Consumer Goods,367410,104,285,0,0,0,0,0,0,0,0,367799,42931,12,33,0,0,0,0,0,0,0,0,42976,-487,0,0,0,0,0,0,0,0,0,0,-487,-57,0,0,0,0,0,0,0,0,0,0,-57,587,0,0,0,0,0,0,0,0,0,0,587,69,0,0,0,0,0,0,0,0,0,0,69,384037,104,285,0,0,0,0,0,0,0,0,384426,44817,12,33,0,0,0,0,0,0,0,0,44862
10,Financial Services,2088398,21390,18885,0,0,0,0,0,0,443,0,2129116,244025,2499,2207,0,0,0,0,0,0,52,0,248783,17585,2000,430,0,0,0,0,0,0,7,0,20022,2055,234,50,0,0,0,0,0,0,1,0,2340,-4501,-2611,-849,0,0,0,0,0,0,3,0,-7958,-525,-305,-99,0,0,0,0,0,0,0,0,-929,2108949,19058,17713,0,0,0,0,0,0,443,0,2146163,246112,2224,2067,0,0,0,0,0,0,52,0,250455
11,Forest Materials,3102,459,0,0,0,0,0,0,0,0,0,3561,363,54,0,0,0,0,0,0,0,0,0,417,40,-33,0,0,0,0,0,0,0,0,0,7,5,-4,0,0,0,0,0,0,0,0,0,1,-19,20,0,0,0,0,0,0,0,0,0,1,-2,2,0,0,0,0,0,0,0,0,0,0,3007,494,0,0,0,0,0,0,0,0,0,3501,351,58,0,0,0,0,0,0,0,0,0,409
12,Healthcare,462709,477,1450,0,0,0,0,0,0,0,0,464636,54066,56,169,0,0,0,0,0,0,0,0,54291,2138,0,0,0,0,0,0,0,0,0,0,2138,250,0,0,0,0,0,0,0,0,0,0,250,-1384,0,0,0,0,0,0,0,0,0,0,-1384,-161,0,0,0,0,0,0,0,0,0,0,-161,458717,477,1450,0,0,0,0,0,0,0,0,460644,53532,56,169,0,0,0,0,0,0,0,0,53757
13,Information Technology,599150,0,0,0,0,0,0,0,0,0,0,599150,70009,0,0,0,0,0,0,0,0,0,0,70009,-1517,0,0,0,0,0,0,0,0,0,0,-1517,-177,0,0,0,0,0,0,0,0,0,0,-177,-13828,0,0,0,0,0,0,0,0,0,0,-13828,-1614,0,0,0,0,0,0,0,0,0,0,-1614,528414,0,0,0,0,0,0,0,0,0,0,528414,61665,0,0,0,0,0,0,0,0,0,0,61665
14,"Media, Entertainment & Publication",11290,0,0,0,0,0,0,0,0,0,0,11290,1319,0,0,0,0,0,0,0,0,0,0,1319,303,0,0,0,0,0,0,0,0,0,0,303,35,0,0,0,0,0,0,0,0,0,0,35,103,0,0,0,0,0,0,0,0,0,0,103,12,0,0,0,0,0,0,0,0,0,0,12,11998,0,0,0,0,0,0,0,0,0,0,11998,1400,0,0,0,0,0,0,0,0,0,0,1400
15,Metals & Mining,200316,120,1250,0,0,0,0,0,0,0,0,201686,23406,14,146,0,0,0,0,0,0,0,0,23566,722,-55,0,0,0,0,0,0,0,0,0,667,84,-6,0,0,0,0,0,0,0,0,0,78,-2829,0,0,0,0,0,0,0,0,0,0,-2829,-330,0,0,0,0,0,0,0,0,0,0,-330,183795,120,1250,0,0,0,0,0,0,0,0,185165,21449,14,146,0,0,0,0,0,0,0,0,21609
16,"Oil, Gas & Consumable Fuels",467424,590,0,0,0,0,0,0,0,0,0,468014,54617,69,0,0,0,0,0,0,0,0,0,54686,-2449,150,0,0,0,0,0,0,0,0,0,-2299,-286,18,0,0,0,0,0,0,0,0,0,-268,-2759,0,0,0,0,0,0,0,0,0,0,-2759,-322,0,0,0,0,0,0,0,0,0,0,-322,454640,591,0,0,0,0,0,0,0,0,0,455231,53056,69,0,0,0,0,0,0,0,0,0,53125
17,Power,247897,3205,5,0,5321,0,0,0,0,0,0,256428,28966,374,1,0,622,0,0,0,0,0,0,29963,1627,34,0,0,-8,0,0,0,0,0,0,1653,190,4,0,0,-1,0,0,0,0,0,0,193,29,-85,0,0,-119,0,0,0,0,0,0,-175,3,-10,0,0,-14,0,0,0,0,0,0,-21,254180,3162,5,0,5340,0,0,0,0,0,0,262687,29663,369,1,0,623,0,0,0,0,0,0,30656
18,Realty,136352,980,1054,0,23198,0,0,0,0,0,0,161584,15932,115,123,0,2711,0,0,0,0,0,0,18881,612,-2,0,0,147,0,0,0,0,0,0,757,71,0,0,0,17,0,0,0,0,0,0,88,-360,0,0,0,53,0,0,0,0,0,0,-307,-42,0,0,0,6,0,0,0,0,0,0,-36,133245,980,1052,0,23353,0,0,0,0,0,0,158630,15550,114,123,0,2725,0,0,0,0,0,0,18512
19,Services,138893,3466,2622,0,3343,0,0,0,0,0,0,148324,16229,405,306,0,391,0,0,0,0,0,0,17331,273,0,0,0,-4,0,0,0,0,0,0,269,32,0,0,0,0,0,0,0,0,0,0,32,-1175,0,250,0,34,0,0,0,0,0,0,-891,-137,0,29,0,4,0,0,0,0,0,0,-104,139737,3464,2872,0,3389,0,0,0,0,0,0,149462,16307,404,335,0,395,0,0,0,0,0,0,17441
20,Telecommunication,301272,121,7900,0,11713,0,0,0,0,0,0,321006,35203,14,923,0,1369,0,0,0,0,0,0,37509,3413,0,0,0,0,0,0,0,0,0,0,3413,399,0,0,0,0,0,0,0,0,0,0,399,2137,0,0,0,0,0,0,0,0,0,0,2137,249,0,0,0,0,0,0,0,0,0,0,249,317026,119,7900,0,11612,0,0,0,0,0,0,336657,36997,14,922,0,1355,0,0,0,0,0,0,39288
21,Textiles,22595,460,0,0,0,0,0,0,0,0,0,23055,2640,54,0,0,0,0,0,0,0,0,0,2694,-53,0,0,0,0,0,0,0,0,0,0,-53,-6,0,0,0,0,0,0,0,0,0,0,-6,-72,0,0,0,0,0,0,0,0,0,0,-72,-8,0,0,0,0,0,0,0,0,0,0,-8,23851,460,0,0,0,0,0,0,0,0,0,24311,2783,54,0,0,0,0,0,0,0,0,0,2837
22,Utilities,2339,83,0,0,0,0,0,0,0,0,0,2422,273,10,0,0,0,0,0,0,0,0,0,283,26,0,0,0,0,0,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,3,-26,0,0,0,0,0,0,0,0,0,0,-26,-3,0,0,0,0,0,0,0,0,0,0,-3,2326,83,0,0,0,0,0,0,0,0,0,2409,271,10,0,0,0,0,0,0,0,0,0,281
23,Sovereign,0,63974,988,283628,0,0,0,0,0,0,0,348590,0,7475,116,33141,0,0,0,0,0,0,0,40732,0,-1936,-1766,12371,0,0,0,0,0,0,0,8669,0,-226,-206,1446,0,0,0,0,0,0,0,1014,0,-1380,108,-5941,0,0,0,0,0,0,0,-7213,0,-161,13,-693,0,0,0,0,0,0,0,-841,0,62345,1088,278897,0,0,0,0,0,0,0,342330,0,7276,127,32547,0,0,0,0,0,0,0,39950
24,Others,44180,83500,131036,0,9605,5838,1540,260,0,2569,25,278553,5162,9757,15311,0,1122,682,180,30,0,300,3,32547,1466,2234,702,0,0,-96,-338,-55,0,11,0,3924,171,261,82,0,0,-11,-40,-6,0,1,0,458,297,-3412,-706,0,0,14,256,-91,0,17,0,-3625,35,-398,-82,0,0,2,30,-11,0,2,0,-422,45140,79809,132647,0,9605,5815,1808,170,0,2592,25,277611,5268,9314,15480,0,1121,679,211,20,0,303,3,32399
,Grand Total,6680481,182341,166079,283628,53291,5838,1540,260,0,3012,25,7376495,780600,21306,19406,33141,6227,682,180,30,0,352,3,861927,26042,2356,-641,12371,134,-96,-338,-55,0,17,0,39790,3043,275,-75,1446,16,-11,-40,-6,0,2,0,4650,-33927,-7667,-1199,-5941,-36,14,256,-91,0,20,0,-48571,-3959,-895,-140,-693,-4,2,30,-11,0,2,0,-5668,6626900,174395,166874,278897,53403,5815,1808,170,0,3035,25,7311322,773353,20352,19474,32547,6232,679,211,20,0,354,3,853225
