0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
9,Fast Moving Consumer Goods,384037,104,285,0,0,0,0,0,0,0,0,384426,44817,12,33,0,0,0,0,0,0,0,0,44862,587,0,0,0,0,0,0,0,0,0,0,587,69,0,0,0,0,0,0,0,0,0,0,69,2330,0,0,0,0,0,0,0,0,0,0,2330,274,0,0,0,0,0,0,0,0,0,0,274,389188,104,285,0,0,0,0,0,0,0,0,389577,45758,12,34,0,0,0,0,0,0,0,0,45804
10,Financial Services,2108949,19058,17713,0,0,0,0,0,0,443,0,2146163,246112,2224,2067,0,0,0,0,0,0,52,0,250455,-4501,-2611,-849,0,0,0,0,0,0,3,0,-7958,-525,-305,-99,0,0,0,0,0,0,0,0,-929,22910,-1261,-2293,0,0,0,0,0,0,11,0,19367,2694,-148,-270,0,0,0,0,0,0,1,0,2277,2198183,17686,15521,0,0,0,0,0,0,470,0,2231860,258447,2079,1825,0,0,0,0,0,0,55,0,262406
11,Forest Materials,3007,494,0,0,0,0,0,0,0,0,0,3501,351,58,0,0,0,0,0,0,0,0,0,409,-19,20,0,0,0,0,0,0,0,0,0,1,-2,2,0,0,0,0,0,0,0,0,0,0,-15,15,0,0,0,0,0,0,0,0,0,0,-2,2,0,0,0,0,0,0,0,0,0,0,3045,494,0,0,0,0,0,0,0,0,0,3539,358,58,0,0,0,0,0,0,0,0,0,416
12,Healthcare,458717,477,1450,0,0,0,0,0,0,0,0,460644,53532,56,169,0,0,0,0,0,0,0,0,53757,-1384,0,0,0,0,0,0,0,0,0,0,-1384,-161,0,0,0,0,0,0,0,0,0,0,-161,656,0,-76,0,0,0,0,0,0,0,0,580,77,0,-9,0,0,0,0,0,0,0,0,68,471282,477,1375,0,0,0,0,0,0,0,0,473134,55410,56,162,0,0,0,0,0,0,0,0,55628
13,Information Technology,528414,0,0,0,0,0,0,0,0,0,0,528414,61665,0,0,0,0,0,0,0,0,0,0,61665,-13828,0,0,0,0,0,0,0,0,0,0,-13828,-1614,0,0,0,0,0,0,0,0,0,0,-1614,-1385,0,0,0,0,0,0,0,0,0,0,-1385,-163,0,0,0,0,0,0,0,0,0,0,-163,563000,0,0,0,0,0,0,0,0,0,0,563000,66194,0,0,0,0,0,0,0,0,0,0,66194
14,"Media, Entertainment & Publication",11998,0,0,0,0,0,0,0,0,0,0,11998,1400,0,0,0,0,0,0,0,0,0,0,1400,103,0,0,0,0,0,0,0,0,0,0,103,12,0,0,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,11839,0,0,0,0,0,0,0,0,0,0,11839,1392,0,0,0,0,0,0,0,0,0,0,1392
15,Metals & Mining,183795,120,1250,0,0,0,0,0,0,0,0,185165,21449,14,146,0,0,0,0,0,0,0,0,21609,-2829,0,0,0,0,0,0,0,0,0,0,-2829,-330,0,0,0,0,0,0,0,0,0,0,-330,-574,-5,0,0,0,0,0,0,0,0,0,-579,-68,-1,0,0,0,0,0,0,0,0,0,-69,184963,115,1250,0,0,0,0,0,0,0,0,186328,21747,14,147,0,0,0,0,0,0,0,0,21908
16,"Oil, Gas & Consumable Fuels",454640,591,0,0,0,0,0,0,0,0,0,455231,53056,69,0,0,0,0,0,0,0,0,0,53125,-2759,0,0,0,0,0,0,0,0,0,0,-2759,-322,0,0,0,0,0,0,0,0,0,0,-322,2401,-107,0,0,0,0,0,0,0,0,0,2294,282,-13,0,0,0,0,0,0,0,0,0,269,504059,486,0,0,0,0,0,0,0,0,0,504545,59264,57,0,0,0,0,0,0,0,0,0,59321
17,Power,254180,3162,5,0,5340,0,0,0,0,0,0,262687,29663,369,1,0,623,0,0,0,0,0,0,30656,29,-85,0,0,-119,0,0,0,0,0,0,-175,3,-10,0,0,-14,0,0,0,0,0,0,-21,878,145,0,0,-45,0,0,0,0,0,0,978,103,17,0,0,-5,0,0,0,0,0,0,115,252078,3701,5,0,5407,0,0,0,0,0,0,261191,29638,435,1,0,636,0,0,0,0,0,0,30710
18,Realty,133245,980,1052,0,23353,0,0,0,0,0,0,158630,15550,114,123,0,2725,0,0,0,0,0,0,18512,-360,0,0,0,53,0,0,0,0,0,0,-307,-42,0,0,0,6,0,0,0,0,0,0,-36,-353,0,0,0,-298,0,0,0,0,0,0,-651,-42,0,0,0,-35,0,0,0,0,0,0,-77,140684,980,1050,0,23683,0,0,0,0,0,0,166397,16541,115,123,0,2784,0,0,0,0,0,0,19563
19,Services,139737,3464,2872,0,3389,0,0,0,0,0,0,149462,16307,404,335,0,395,0,0,0,0,0,0,17441,-1175,0,250,0,34,0,0,0,0,0,0,-891,-137,0,29,0,4,0,0,0,0,0,0,-104,983,-11,0,0,-6,0,0,0,0,0,0,966,116,-1,0,0,-1,0,0,0,0,0,0,114,142248,3455,2874,0,3396,0,0,0,0,0,0,151973,16724,406,338,0,399,0,0,0,0,0,0,17867
20,Telecommunication,317026,119,7900,0,11612,0,0,0,0,0,0,336657,36997,14,922,0,1355,0,0,0,0,0,0,39288,2137,0,0,0,0,0,0,0,0,0,0,2137,249,0,0,0,0,0,0,0,0,0,0,249,2511,0,0,0,0,0,0,0,0,0,0,2511,295,0,0,0,0,0,0,0,0,0,0,295,331486,119,7900,0,11935,0,0,0,0,0,0,351440,38974,14,929,0,1403,0,0,0,0,0,0,41320
21,Textiles,23851,460,0,0,0,0,0,0,0,0,0,24311,2783,54,0,0,0,0,0,0,0,0,0,2837,-72,0,0,0,0,0,0,0,0,0,0,-72,-8,0,0,0,0,0,0,0,0,0,0,-8,-72,0,0,0,0,0,0,0,0,0,0,-72,-8,0,0,0,0,0,0,0,0,0,0,-8,23727,460,0,0,0,0,0,0,0,0,0,24187,2790,54,0,0,0,0,0,0,0,0,0,2844
22,Utilities,2326,83,0,0,0,0,0,0,0,0,0,2409,271,10,0,0,0,0,0,0,0,0,0,281,-26,0,0,0,0,0,0,0,0,0,0,-26,-3,0,0,0,0,0,0,0,0,0,0,-3,35,0,0,0,0,0,0,0,0,0,0,35,4,0,0,0,0,0,0,0,0,0,0,4,2160,83,0,0,0,0,0,0,0,0,0,2243,254,10,0,0,0,0,0,0,0,0,0,264
23,Sovereign,0,62345,1088,278897,0,0,0,0,0,0,0,342330,0,7276,127,32547,0,0,0,0,0,0,0,39950,0,-1380,108,-5941,0,0,0,0,0,0,0,-7213,0,-161,13,-693,0,0,0,0,0,0,0,-841,0,-882,-365,520,0,0,0,0,0,0,0,-727,0,-104,-43,61,0,0,0,0,0,0,0,-86,0,61469,658,280042,0,0,0,0,0,0,0,342169,0,7227,77,32925,0,0,0,0,0,0,0,40229
24,Others,45140,79809,132647,0,9605,5815,1808,170,0,2592,25,277611,5268,9314,15480,0,1121,679,211,20,0,303,3,32399,297,-3412,-706,0,0,14,256,-91,0,17,0,-3625,35,-398,-82,0,0,2,30,-11,0,2,0,-422,1431,-3534,-1716,0,0,84,58,3,0,2,0,-3672,168,-415,-202,0,0,10,7,0,0,0,0,-432,47189,77314,130957,0,9605,6098,1850,180,0,2703,25,275921,5548,9090,15397,0,1129,717,217,21,0,318,3,32440
,Grand Total,6626900,174395,166874,278897,53403,5815,1808,170,0,3035,25,7311322,773353,20352,19474,32547,6232,679,211,20,0,354,3,853225,-33927,-7667,-1199,-5941,-36,14,256,-91,0,20,0,-48571,-3959,-895,-140,-693,-4,2,30,-11,0,2,0,-5668,38150,-5646,-4450,520,-351,84,58,3,0,14,0,28382,4485,-664,-523,61,-41,10,7,0,0,2,0,3337,6894137,170067,162486,280042,54131,6098,1850,180,0,3173,25,7572189,810565,19995,19104,32925,6364,717,217,21,0,373,3,890284
