0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
24,Retailing,2503,0,2503,489,0,489,14,0,14,3,0,3,2527,0,2527,492,0,492
25,Software &  Services,124274,0,124274,24293,0,24293,-298,0,-298,-58,0,-58,110021,0,110021,21398,0,21398
26,Telecom  Services,28979,1400,30379,5665,274,5938,-130,0,-130,-25,0,-25,27665,1400,29065,5380,272,5653
27,Telecommunications  Equipment,135,0,135,26,0,26,8,0,8,2,0,2,139,0,139,27,0,27
28,"Textiles,  Apparels & Accessories",15677,0,15677,3065,0,3065,236,0,236,46,0,46,14146,0,14146,2751,0,2751
29,Transportation,10377,0,10377,2028,0,2028,14,0,14,3,0,3,10084,0,10084,1961,0,1961
29 a,Airlines,220,0,220,43,0,43,7,0,7,1,0,1,259,0,259,50,0,50
29 b,Logistics,881,0,881,172,0,172,-28,0,-28,-6,0,-6,821,0,821,160,0,160
29 c,Marine Port & Services,3722,0,3722,727,0,727,10,0,10,2,0,2,3565,0,3565,693,0,693
29 d,Roads & Highways,1343,0,1343,263,0,263,11,0,11,2,0,2,1349,0,1349,262,0,262
29 e,Shipping,940,0,940,184,0,184,1,0,1,0,0,0,945,0,945,184,0,184
29 f,Surface Transportation,29,0,29,6,0,6,0,0,0,0,0,0,29,0,29,6,0,6
29 g,Transport Related Services,3242,0,3242,634,0,634,15,0,15,3,0,3,3116,0,3116,606,0,606
30,Utilities,38334,384,38718,7493,75,7569,-36,-1,-37,-7,0,-7,36426,384,36810,7084,75,7159
31,Sovereign,0,53988,53988,0,10554,10554,0,74,74,0,14,14,0,57909,57909,0,11263,11263
32,Others1,11966,46745,58710,2339,9138,11477,61,183,243,12,36,47,11727,47021,58747,2281,9145,11426
,Grand Total,969449,149206,1118655,189507,29167,218673,322,214,536,63,42,104,940713,153907,1094620,182956,29933,212889
1AUC of Top 10 companies under Others Category in Debt is as below,1AUC of Top 10 companies under Others Category in Debt is as below,1AUC of Top 10 companies under Others Category in Debt is as below,1AUC of Top 10 companies under Others Category in Debt is as below,1AUC of Top 10 companies under Others Category in Debt is as below,,,,,,,,,,,,,,,
Sr. No.,Companies,"As on Apr 15,  2012 in INR Cr.",Companies,"As on Mar 31,  2012 in INR Cr.",,,,,,,,,,,,,,,
1,Exim Bank,9440,Exim Bank,9290,,,,,,,,,,,,,,,
2,NABARD,8759,NABARD,8360,,,,,,,,,,,,,,,
3,National Housing Bank,4509,National Ho,4659,,,,,,,,,,,,,,,
4,SIDBI,3220,SIDBI,3105,,,,,,,,,,,,,,,
5,J.P.MORGAN SEC CP,2000,J.P.MORG,2000,,,,,,,,,,,,,,,
6,SISTEMA SHYAM  TELESER,1280,ICICI PRU,1313,,,,,,,,,,,,,,,
7,VODAFONE ESSAR,940,SISTEMA,1280,,,,,,,,,,,,,,,
8,Lodha Developers Limited,825,VODAFO,940,,,,,,,,,,,,,,,
9,IRFC,794,Lodha Dev,825,,,,,,,,,,,,,,,
10,BARCLAYS INVESTMENTS  AND LO,780,IRFC,794,,,,,,,,,,,,,,,
,Total,32547,,32566,,,,,,,,,,,,,,,
,Note: RBI reference rate is used for conversion from INR to USD,Note: RBI reference rate is used for conversion from INR to USD,Note: RBI reference rate is used for conversion from INR to USD,,,,,,,,,,,,,,,,
,,Conversion rate,Conversion rate,,,,,,,,,,,,,,,,
,"AUC as on April  15, 2012",51.4175,51.4175,,,,,,,,,,,,,,,,
,"Net Investment  Apr 1-15, 2012",51.4175,51.4175,,,,,,,,,,,,,,,,
,"AUC as on Mar  31, 2012",51.1565,51.1565,,,,,,,,,,,,,,,,
,INR to USD conversion of FII net Investment details on SEBI  website is done on the basis of daily RBI reference rate. However here RBI  reference rate of end of period is used for conversion from INR to USD.,INR to USD conversion of FII net Investment details on SEBI  website is done on the basis of daily RBI reference rate. However here RBI  reference rate of end of period is used for conversion from INR to USD.,INR to USD conversion of FII net Investment details on SEBI  website is done on the basis of daily RBI reference rate. However here RBI  reference rate of end of period is used for conversion from INR to USD.,,,,,,,,,,,,,,,,
"Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".",,,,,,,,,,,
