0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,ReportDate
18,Household &  Personal Products,28755,0,28755,5838,0,5838,943,0,943,193,0,193,29503,0,29503,6028,0,6028,"February 29, 2012"
19,Media,9694,58,9752,1968,12,1980,-46,0,-46,-9,0,-9,8889,58,8946,1816,12,1828,"February 29, 2012"
20,Metals &  Mining,49545,751,50296,10060,152,10212,106,0,106,22,0,22,46417,751,47168,9484,153,9638,"February 29, 2012"
21,Oil & Gas,70010,10520,80529,14215,2136,16350,1028,127,1155,210,26,236,70778,10622,81400,14462,2170,16632,"February 29, 2012"
22,Pharmaceuticals  & Biotechnology,43859,169,44028,8905,34,8939,230,0,230,47,0,47,43815,169,43983,8953,34,8987,"February 29, 2012"
23,Realty,17728,110,17838,3599,22,3622,103,0,103,21,0,21,17124,110,17234,3499,22,3521,"February 29, 2012"
24,Retailing,2405,0,2405,488,0,488,2,0,2,0,0,0,2389,0,2389,488,0,488,"February 29, 2012"
25,Software &  Services,121503,0,121503,24670,0,24670,1369,0,1369,280,0,280,123059,0,123059,25144,0,25144,"February 29, 2012"
26,Telecom Services,29950,1400,31350,6081,284,6365,-316,0,-316,-65,0,-65,29359,1400,30759,5999,286,6285,"February 29, 2012"
27,Telecommunications  Equipment,149,0,149,30,0,30,2,0,2,0,0,0,143,0,143,29,0,29,"February 29, 2012"
28,"Textiles,  Apparels & Accessories",14041,0,14041,2851,0,2851,44,0,44,9,0,9,13901,0,13901,2840,0,2840,"February 29, 2012"
29,Transportation,10535,0,10535,2139,0,2139,69,0,69,14,0,14,10571,0,10571,2160,0,2160,"February 29, 2012"
29 a,Airlines,199,0,199,40,0,40,11,0,11,2,0,2,193,0,193,39,0,39,"February 29, 2012"
29 b,Logistics,861,0,861,175,0,175,-18,0,-18,-4,0,-4,859,0,859,176,0,176,"February 29, 2012"
29 c,Marine Port & Services,3907,0,3907,793,0,793,10,0,10,2,0,2,3897,0,3897,796,0,796,"February 29, 2012"
29 d,Roads & Highways,1216,0,1216,247,0,247,76,0,76,15,0,15,1249,0,1249,255,0,255,"February 29, 2012"
29 e,Shipping,1009,0,1009,205,0,205,0,0,0,0,0,0,933,0,933,191,0,191,"February 29, 2012"
29 f,Surface Transportation,34,0,34,7,0,7,0,0,0,0,0,0,32,0,32,7,0,7,"February 29, 2012"
29 g,Transport Related Services,3310,0,3310,672,0,672,-9,0,-9,-2,0,-2,3408,0,3408,696,0,696,"February 29, 2012"
30,Utilities^,39468,394,39862,8013,80,8093,224,0,224,46,0,46,39174,394,39568,8004,81,8085,"February 29, 2012"
31,Sovereign,0,64409,64409,0,13077,13077,0,-719,-719,0,-147,-147,0,63910,63910,0,13059,13059,"February 29, 2012"
32,Others*,10624,41140,51764,2157,8353,10510,32,6453,6486,7,1319,1325,9907,49014,58921,2024,10015,12039,"February 29, 2012"
,Grand Total,964450,150819,1115269,195819,30622,226441,13530,8530,22060,2765,1743,4507,952697,161399,1114096,194663,32978,227642,"February 29, 2012"
,,,,,,,,,,,,,,,,,,,,"February 29, 2012"
,,,,,,,,,,,,,,,,,,,,"February 29, 2012"
,,,,,,,,,,,,,,,,,,,,"February 29, 2012"
*AUC of Top 10 companies under Others Category in  Debt is as below,*AUC of Top 10 companies under Others Category in  Debt is as below,*AUC of Top 10 companies under Others Category in  Debt is as below,*AUC of Top 10 companies under Others Category in  Debt is as below,,,,,,,,,,,,,,,,,"February 29, 2012"
Sr. No.,Companies,"As on Feb 29,  2012 in INR Cr.","As on Feb 15, 2012 in INR Cr.",,,,,,,,,,,,,,,,,"February 29, 2012"
1,Exim  Bank,10125,8405,,,,,,,,,,,,,,,,,"February 29, 2012"
2,NABARD,9620,8001,,,,,,,,,,,,,,,,,"February 29, 2012"
3,National  Housing Bank,5147,4730,,,,,,,,,,,,,,,,,"February 29, 2012"
4,SIDBI,3560,2885,,,,,,,,,,,,,,,,,"February 29, 2012"
5,J.P.MORGAN  SEC CP,1910,1850,,,,,,,,,,,,,,,,,"February 29, 2012"
6,SISTEMA  SHYAM TELESER,1280,1280,,,,,,,,,,,,,,,,,"February 29, 2012"
7,IRFC,865,855,,,,,,,,,,,,,,,,,"February 29, 2012"
8,ICICI  PRUDENTIAL,791,795,,,,,,,,,,,,,,,,,"February 29, 2012"
9,BARCLAYS  INVESTMENTS AND LOANS INDIA LTD CP,780,630,,,,,,,,,,,,,,,,,"February 29, 2012"
10,AIRPORTS  AUTHR.INDIA,600,600,,,,,,,,,,,,,,,,,"February 29, 2012"
,Total,34679,30031,,,,,,,,,,,,,,,,,"February 29, 2012"
,,,,,,,,,,,,,,,,,,,,"February 29, 2012"
"# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,"February 29, 2012"
"# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,"February 29, 2012"
"# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,"February 29, 2012"
"# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,"February 29, 2012"
"# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,"February 29, 2012"
"# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,"February 29, 2012"
"# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,"February 29, 2012"
"# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)","# ""Other  Financial Services"" includes Financial Sector  other than ""Bank"". Sub-category under ""Other Financial Services"" are as  follows:  - Financial Institutions  - Holding Companies  - Housing Finance Companies  - Investment Companies  - Other Finance companies (including  NBFCs)",,,,,,,,,,,,,,,,,"February 29, 2012"
,,,,,,,,,,,,,,,,,,,,"February 29, 2012"
"^ Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","^ Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","^ Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","^ Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,"February 29, 2012"
"^ Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","^ Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","^ Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","^ Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,"February 29, 2012"
"^ Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","^ Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","^ Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)","^ Sub-category under ""Utilities"" are as follows:  - Electric Utilities  - Other Utilities (Including  Pipelines)",,,,,,,,,,,,,,,,,"February 29, 2012"
,,,,,,,,,,,,,,,,,,,,"February 29, 2012"
,,,,,,,,,,,,,,,,,,,,"February 29, 2012"
,,,,,,,,,,,,,,,,,,,,"February 29, 2012"
,Note: RBI reference rate is used for conversion from INR to USD,Note: RBI reference rate is used for conversion from INR to USD,Note: RBI reference rate is used for conversion from INR to USD,,,,,,,,,,,,,,,,,"February 29, 2012"
,,Conversion rate,Conversion rate,,,,,,,,,,,,,,,,,"February 29, 2012"
,"AUC as on Feb  15, 2012",49.252,49.252,,,,,,,,,,,,,,,,,"February 29, 2012"
,"Net Investment  Feb 16-29, 2012",48.9408,48.9408,,,,,,,,,,,,,,,,,"February 29, 2012"
,"AUC as on Feb  29, 2012",48.9408,48.9408,,,,,,,,,,,,,,,,,"February 29, 2012"
,INR to USD conversion of FII net Investment details on SEBI  website is done on the basis of daily RBI reference rate. However here RBI  reference rate of end of period is used for conversion from INR to USD.,INR to USD conversion of FII net Investment details on SEBI  website is done on the basis of daily RBI reference rate. However here RBI  reference rate of end of period is used for conversion from INR to USD.,INR to USD conversion of FII net Investment details on SEBI  website is done on the basis of daily RBI reference rate. However here RBI  reference rate of end of period is used for conversion from INR to USD.,,,,,,,,,,,,,,,,,"February 29, 2012"
,,,,,,,,,,,,,,,,,,,,"February 29, 2012"
,,,,,,,,,,,,,,,,,,,,"February 29, 2012"
"BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".","BSE had classified more than 3400 number of  issuers into 31 sectors. SEBI has decided to rely on the BSE classification.  Any FII investment outside those 3400 issueres, is classified under  ""Others"".",,,,,,,,,,,,"February 29, 2012"
